Type,ID,ParentID,Date,Content,Likes,Comments
POST,"sGzwu5mWUiY","","2025-10-05 23:15:08","cảnh báo đỏ: bão matmo sắp đổ bộ cách quảng ninh 140km, đông bắc đối mặt mưa to, gió lớn vtc news vtc news trung tâm dự báo khí tượng thuỷ văn quốc gia cho biết, bão số 11 matmo vượt qua bán đảo lôi châu (trung .",26,2
COMMENT,"UgwTGk5Yygp4XEhfB-l4AaABAg","sGzwu5mWUiY","2025-10-06 10:05:14","giữa thủ đô ngập ngực 6 ngày, cắt điện 5 ngày, người dân than vãn: ""không dám vệ sinh"" https://www.youtube.com/watch?v 1wec03pgq3u",0,0
POST,"i5etZYv-ecI","","2025-10-03 15:57:32","bão matmo sắp vào biển đông #nongnghiepmientay chào mừng bạn kênh youtube chuyên biệt nông nghiệp, nông thôn dành cho con nông dân miền tây báo .",77,0
POST,"5xvnSKGTxgE","","2025-10-03 12:18:39","tin bão khẩn: bão matmo mạnh lên, chuẩn đổ bộ đất liền - vnamedia vnamedia - đổ bộ đảo luzon, philippines trưa nay sức gió cấp 9, bão matmo vào biển đông dự báo tăng lên cấp .",47,2
COMMENT,"Ugw7szltdtFURu58vFx4AaABAg","5xvnSKGTxgE","2025-10-03 14:22:15","cám ơn kênh nhiều bão",0,0
POST,"xCpnlg-2yh4","","2025-10-02 15:37:32","bão matmo dự báo mạnh cấp 12 trung tâm dự báo khí tượng thủy văn quốc gia cho biết sáng sớm 2/10, áp thấp nhiệt đới vùng biển phía đông philippines .",4,0
POST,"jgpmmpl8agg","","2025-10-03 19:07:37","bão matmo có thể gây mưa lớn tại bắc bộ, thanh hóa địa phương miền bắc bắc trung bộ đang khẩn trương khắc phục hậu quả bão số 10 chiều tối nay bão .",1,0
POST,"57JPGBayGtg","","2025-10-06 09:38:13","bão matmo trung quốc gánh",262,2
COMMENT,"UgyJRIP7XrI8O_xY8mt4AaABAg","57JPGBayGtg","2025-10-06 13:11:45","a di đà phật. bão giảm mừng .mưa giảm đi.cảm ơn trời phật.",0,0
COMMENT,"UgzuZxOQoUqgmZjJm854AaABAg","57JPGBayGtg","2025-10-06 10:34:47","nam mô a di đà phật.",0,0
POST,"FLnghpBN7Oc","","2025-10-03 18:30:36","kịch bản bão matmo đổ bộ vào nước ta bản tin thời tiết quảng ngãi ngày mai nắng nhiều. kịch bản bão matmo đổ bộ vào nước ta bản tin thời tiết quảng ngãi ngày mai nắng nhiều. #thoitiet #bao #ragasa .",13,0
POST,"vMxCBcyb0wo","","2025-10-04 13:56:51","chuyên gia dự báo hướng bão matmo ngày tới #vovgiaothong #fm91 tham gia hội viên vov giao thông bạn nhé: https://www.youtube.com/channel/ucpeju6xnezmwahyxe27vgmg/join kính .",35,0
POST,"ZyKxPLG1Ejs","","2025-10-03 17:18:53","bão matmo có thể vào biển đông hôm nay, liên tục tăng cấp #vovgiaothong #fm91 tham gia hội viên vov giao thông bạn nhé: https://www.youtube.com/channel/ucpeju6xnezmwahyxe27vgmg/join kính .",55,0
POST,"DGM2eG7GYFo","","2025-10-08 14:26:56","cổng chào đồng văn đổ sập do mưa lớn bão matmo baothanhnien #tintuc #thoisu #tinnong mưa lớn kéo dài do hoàn lưu bão matmo (bão số 11) khiến khu vực đầu tuyến đường dẫn .",119,0
POST,"3xNJpS3byc4","","2025-09-30 13:46:26","kịch bản xấu nhất bão matmo (paolo) lao vào bắc bộ dịp trung thu. #paolo, #matmo, #baoso11, #tintuc",3,0
POST,"TmLlONTrCpk","","2025-10-07 10:35:06","tin đồn bão số 12 lan nhanh bão matmo: cơ quan khí tượng nói gì? tin tức nlđ tin đồn bão số 12 lan nhanh bão matmo: cơ quan khí tượng nói gì? đại diện cục khí tượng thuỷ văn làm rõ thông .",21,0
POST,"4x42Zt_czZA","","2025-10-04 09:00:06","thế giới toàn cảnh 4/10: bão matmo đổ bộ philippines, hàng nghìn người dân sơ tán vtv24 thế giới toàn cảnh 4/10: bão matmo đổ bộ philippines, hàng nghìn người dân sơ tán 00:00 tin chính 00:50 bão .",228,0
POST,"JGE3xqOyFWI","","2025-10-04 16:01:13","trung quốc ban bố cảnh báo cam bão matmo tin quốc tế tin tức quốc tế nổi bật bản tin chiều ngày 04/10: - trung quốc ban bố cảnh báo cam bão matmo - israel chuẩn thực hiện .",2,0
POST,"JcCOQl0l7_w","","2025-10-03 21:15:05","bão matmo “tích sức” đổ bộ đất liền, cảnh báo miền bắc “chìm biển nước” vnp vietnam plus theo trung tâm dự báo khí tượng thủy văn quốc gia, thời tiết miền bắc còn nắng mạnh ngày 5/10.",16,0
POST,"1JFzjQTHvrw","","2025-10-06 20:25:32","bão matmo gây gián đoạn kỳ nghỉ lễ tại trung quốc vtvwdb bão matmo gây gián đoạn kỳ nghỉ lễ tại trung quốc vtvwdb dự báo thời tiết vtv kênh youtube chính thức phòng .",166,0
POST,"ftrT_BFJmuQ","","2025-10-02 10:04:37","bão matmo hình thành, hướng vào biển đông sức gió giật cấp 15 hytv #baoso11 #matmo #tintuc hưng yên tv báo phát thanh,truyền hình hưng yên địa chỉ: 164 nguyễn văn linh, tỉnh hưng yên website: .",17,0
POST,"bJ42jCDq10Y","","2025-10-06 09:17:46","trung quốc khắc phục hậu quả bão matmo vtvwdb trung quốc khắc phục hậu quả bão matmo vtvwdb dự báo thời tiết vtv kênh youtube chính thức phòng thời tiết .",524,0
POST,"K-dTiVEMKHo","","2025-10-05 22:25:59","bão matmo đang tiến vào miền bắc - gió giật cấp 10, cực nguy hiểm.",316,9
COMMENT,"Ugyyr8Sh-LGdtXZ2ykl4AaABAg","K-dTiVEMKHo","2025-10-06 05:43:27","nam mô a di đà phật chúng con xin mẹ thiên nhiên hãy cứu giúp đất việt chúng con con cầu mong bão qua cho người việt chúng con được bình an con nam mô a di đà phật",2,0
COMMENT,"UgzQf8VTpkrjrncSuNx4AaABAg","K-dTiVEMKHo","2025-10-05 23:07:39","con câu mong trời che chở cho muôn dân chúng con được bình an vô sự",1,0
COMMENT,"UgyUgxd1JQ__LVaLVWV4AaABAg","K-dTiVEMKHo","2025-10-05 23:23:50","lạy chúa giêsu xinh thương xót quê hương việt nam con toàn thế giới amen",0,0
COMMENT,"Ugz2z1SvkPox99jyFuV4AaABAg","K-dTiVEMKHo","2025-10-05 22:50:52","a di đà phật. nam mô đại từ đại bi cứu khổ cứu nạn linh cảm quán thế âm bồ tát. nguyện bão giảm tan cho muôn nơi bình an.",0,0
COMMENT,"UgyZKqzTHphkH5NzScB4AaABAg","K-dTiVEMKHo","2025-10-06 01:44:10","con xin mười phương chư phật con xin cha con xin mẹ con xin chúa amen cho chúng con được bình yên a di đà phật",0,0
COMMENT,"UgxqHMiNEEHcbTOB2hl4AaABAg","K-dTiVEMKHo","2025-10-06 20:01:56","a di đà phật a di đà phật a di đà phật",0,0
COMMENT,"UgwLQeJharQGz5UpSAZ4AaABAg","K-dTiVEMKHo","2025-10-05 23:18:33","nam mô a di đà phật",0,0
